NAME                                          DISPLAY NAME                                             DEFAULT CHANNEL
machine-deletion-remediation                  Machine Deletion Remediation operator                    stable
marin3r-operator                              Red Hat - MARIN3R                                        stable
mcg-operator                                  NooBaa Operator                                          stable-4.14
metallb-operator                              MetalLB Operator                                         stable
mta-operator                                  Migration Toolkit for Applications Operator              stable-v7.1
mtc-operator                                  Migration Toolkit for Containers Operator                release-v1.8
mtr-operator                                  Migration Toolkit for Runtimes Operator                  alpha
mtv-operator                                  Migration Toolkit for Virtualization Operator            release-v2.7
multicluster-engine                           multicluster engine for Kubernetes                       stable-2.6
multicluster-global-hub-operator-rh           Multicluster Global Hub Operator                         release-1.2
netobserv-operator                            Network Observability                                    stable
nfd                                           Node Feature Discovery Operator                          stable
node-healthcheck-operator                     Node Health Check Operator                               stable
node-maintenance-operator                     Node Maintenance Operator                                stable
node-observability-operator                   Node Observability Operator                              alpha
numaresources-operator                        numaresources-operator                                   4.14
ocs-client-operator                           OpenShift Data Foundation Client                         stable-4.14
ocs-operator                                  OpenShift Container Storage                              stable-4.14
odf-compose-operator                          ODF Compose (DO NOT INSTALL)                             stable-4.14
odf-csi-addons-operator                       CSI Addons                                               stable-4.14
odf-multicluster-orchestrator                 ODF Multicluster Orchestrator                            stable-4.14
odf-operator                                  OpenShift Data Foundation                                stable-4.14
odr-cluster-operator                          Openshift DR Cluster Operator                            stable-4.14
odr-hub-operator                              Openshift DR Hub Operator                                stable-4.14
openshift-builds-operator                     Builds for Red Hat OpenShift Operator                    latest
openshift-cert-manager-operator               cert-manager Operator for Red Hat OpenShift              stable-v1
openshift-custom-metrics-autoscaler-operator  Custom Metrics Autoscaler                                stable
openshift-gitops-operator                     Red Hat OpenShift GitOps                                 latest
openshift-pipelines-operator-rh               Red Hat OpenShift Pipelines                              latest
openshift-secondary-scheduler-operator        Secondary Scheduler Operator for Red Hat OpenShift       stable
opentelemetry-product                         Red Hat build of OpenTelemetry                           stable
orchestrator-operator                         Orchestrator Operator                                    stable-1.2
power-monitoring-operator                     Power monitoring for Red Hat OpenShift                   tech-preview
ptp-operator                                  PTP Operator                                             stable
quay-bridge-operator                          Red Hat Quay Bridge Operator                             stable-3.12
quay-operator                                 Red Hat Quay                                             stable-3.12
red-hat-camel-k                               Red Hat Integration - Camel K                            1.10.x
red-hat-hawtio-operator                       HawtIO Operator                                          stable-v1.0
redhat-oadp-operator                          OADP Operator                                            stable-1.4
rh-service-binding-operator                   Service Binding Operator                                 stable
rhacs-operator                                Advanced Cluster Security for Kubernetes                 stable
rhbk-operator                                 Keycloak Operator                                        stable-v24
rhdh                                          Red Hat Developer Hub Operator                           fast
rhods-operator                                Red Hat OpenShift AI                                     stable
rhpam-kogito-operator                         RHPAM Kogito Operator                                    7.x
rhsso-operator                                Red Hat Single Sign-On Operator                          stable
rhtas-operator                                Red Hat Trusted Artifact Signer                          stable
run-once-duration-override-operator           Run Once Duration Override Operator                      stable
sandboxed-containers-operator                 OpenShift sandboxed containers Operator                  stable
secrets-store-csi-driver-operator             Secrets Store CSI Driver Operator                        preview
security-profiles-operator                    Security Profiles Operator                               release-alpha-rhel-8
self-node-remediation                         Self Node Remediation Operator                           stable
serverless-operator                           Red Hat OpenShift Serverless                             stable
service-registry-operator                     Red Hat build of Apicurio Registry                       2.x
service-telemetry-operator                    Service Telemetry Operator                               stable-1.5
servicemeshoperator                           Red Hat OpenShift Service Mesh                           stable
servicemeshoperator3                          Red Hat OpenShift Service Mesh 3                         candidates
skupper-operator                              Red Hat Service Interconnect                             stable
smart-gateway-operator                        Smart Gateway Operator                                   stable-1.5
sriov-network-operator                        SR-IOV Network Operator                                  stable
submariner                                    Submariner                                               stable-0.18
tang-operator                                 NBDE Tang Server                                         alpha
tempo-product                                 Tempo Operator                                           stable
topology-aware-lifecycle-manager              Topology Aware Lifecycle Manager                         stable
vertical-pod-autoscaler                       VerticalPodAutoscaler                                    stable
volsync-product                               VolSync                                                  stable
web-terminal                                  Web Terminal                                             fast
windows-machine-config-operator               Windows Machine Config Operator                          stable
