NAME                                       DISPLAY NAME                                                      DEFAULT CHANNEL
ibm-spectrum-scale-csi-operator            IBM Spectrum Scale CSI Plugin Operator                            stable
ibmcloud-operator                          IBM Cloud Operator                                                stable
infinispan                                 Infinispan Operator                                               2.3.x
integrity-shield-operator                  K8s Integrity Shield                                              alpha-0.3.3
ipfs-operator                              IPFS Operator                                                     alpha
istio-workspace-operator                   Istio Workspace                                                   alpha
jaeger                                     Community Jaeger Operator                                         stable
k8gb                                       k8gb                                                              alpha
kaoto-operator                             Kaoto Operator                                                    alpha
keda                                       [DEPRECATED] KEDA                                                 alpha
keepalived-operator                        Keepalived Operator                                               alpha
kepler-operator                            Kepler                                                            alpha
keycloak-operator                          Keycloak Operator                                                 fast
kiali                                      Kiali Operator                                                    stable
klusterlet                                 Klusterlet                                                        stable
kogito-operator                            Kogito                                                            1.x
koku-metrics-operator                      Koku Metrics Operator                                             beta
konveyor-operator                          Konveyor Operator                                                 beta
kuadrant-operator                          Kuadrant Operator                                                 stable
kube-green                                 kube-green                                                        alpha
kubecost                                   Kubecost                                                          alpha
kubernetes-imagepuller-operator            Kubernetes Image Puller Operator                                  stable
kubeturbo                                  Kubeturbo Operator                                                stable
l5-operator                                L5 Operator                                                       alpha
lbconfig-operator                          External Load-Balancer Configuration Operator                     beta
lib-bucket-provisioner                     lib-bucket-provisioner                                            alpha
limitador-operator                         Limitador                                                         stable
logging-operator                           Logging Operator                                                  beta
loki-helm-operator                         Loki Helm Operator                                                alpha
loki-operator                              Community Loki Operator                                           alpha
machine-deletion-remediation               Machine Deletion Remediation Operator - Community Edition         stable
mariadb-operator                           MariaDB Operator                                                  alpha
marin3r                                    MARIN3R                                                           stable
mercury-operator                           Mercury Operator                                                  1.0.x
microcks                                   Microcks Operator                                                 stable
mongodb-atlas-kubernetes                   MongoDB Atlas Operator                                            stable
mongodb-operator                           MongoDB Operator                                                  alpha
move2kube-operator                         Konveyor Move2Kube                                                prerelease
multi-nic-cni-operator                     multi-nic-cni-operator                                            stable
multicluster-global-hub-operator           Multicluster Global Hub Operator                                  alpha
multicluster-operators-subscription        Multicluster Subscription Operator                                release-2.5
must-gather-operator                       Must Gather Operator                                              alpha
namespace-configuration-operator           Namespace Configuration Operator                                  alpha
ndmspc-operator                            NdmSpc operator                                                   alpha
netobserv-operator                         NetObserv Operator                                                latest
neuvector-community-operator               NeuVector Operator                                                beta
nexus-operator-m88i                        Nexus Operator                                                    alpha
nfs-provisioner-operator                   NFS Provisioner Operator                                          alpha
nlp-server                                 nlp-server                                                        alpha
node-healthcheck-operator                  Node Health Check Operator - Community Edition                    stable
node-maintenance-operator                  Node Maintenance Operator - Community Edition                     stable
nsm-operator                               nsm-operator                                                      alpha
oadp-operator                              OADP Operator                                                     stable
observability-operator                     Observability Operator                                            stable
oci-ccm-operator                           oci-ccm-operator                                                  alpha
ocm-operator                               OpenShift Cluster Manager Operator                                alpha
odoo-operator                              Odoo Operator                                                     alpha
opendatahub-operator                       Open Data Hub Operator                                            rolling
openebs                                    OpenEBS                                                           alpha
openshift-nfd-operator                     Node Feature Discovery Operator                                   stable
openshift-qiskit-operator                  QiskitPlayground                                                  alpha
opentelemetry-operator                     Community OpenTelemetry Operator                                  alpha
ossmconsole                                OpenShift Service Mesh Console                                    candidate
patch-operator                             Patch Operator                                                    alpha
patterns-operator                          Validated Patterns Operator                                       fast
pcc-operator                               Prisma Cloud Compute Operator                                     stable
pelorus-operator                           Pelorus Operator                                                  alpha
percona-postgresql-operator                Percona Operator for PostgreSQL                                   stable
percona-server-mongodb-operator            Percona Distribution for MongoDB Operator                         stable
percona-xtradb-cluster-operator            Percona Operator for MySQL based on Percona XtraDB Cluster        stable
portworx-essentials                        Portworx Essentials                                               stable
postgresql                                 Crunchy Postgres for Kubernetes                                   v5
proactive-node-scaling-operator            Proactive Node Scaling Operator                                   alpha
project-quay                               Quay                                                              stable-3.9
prometheus                                 Prometheus Operator                                               beta
prometheus-exporter-operator               Prometheus Exporter Operator                                      alpha
prometurbo                                 Prometurbo Operator                                               stable
pubsubplus-eventbroker-operator            Solace PubSub+ Event Broker Operator                              stable
pulp-operator                              Pulp Project                                                      beta
pulsar-operator                            Pulsar Operator                                                   alpha
pulsar-resources-operator                  Pulsar Resources Operator                                         alpha
rabbitmq-cluster-operator                  RabbitMQ-cluster-operator                                         stable
rabbitmq-messaging-topology-operator       rabbitmq-messaging-topology-operator                              stable
rabbitmq-single-active-consumer-operator   rabbitmq-single-active-consumer-operator                          stable
redis-operator                             Redis Operator                                                    stable
reportportal-operator                      reportportal-operator                                             alpha
resource-locker-operator                   Resource Locker Operator                                          alpha
rhoas-operator                             OpenShift Application Services (RHOAS)                            beta
ripsaw                                     benchmark-operator                                                alpha
sailoperator                               Sail Operator                                                     3.0-nightly
sap-commerce-operator                      SAP Commerce Operator                                             alpha
sap-data-intelligence-observer-operator    SAP Data Intelligence 3 - Observer Operator                       stable
sap-hana-express-operator                  SAP Hana Express Operator                                         stable
seldon-operator                            Seldon Operator                                                   stable
self-node-remediation                      Self Node Remediation Operator - Community Edition                stable
service-binding-operator                   Service Binding Operator                                          stable
shipwright-operator                        Shipwright Operator                                               alpha
sigstore-helm-operator                     sigstore                                                          alpha
silicom-sts-operator                       Silicom STS Operator                                              alpha
snapscheduler                              SnapScheduler                                                     stable
snyk-operator                              Snyk Operator                                                     stable
sonar-operator                             EDP Sonar Operator                                                alpha
sonataflow-operator                        SonataFlow Operator                                               alpha
sosivio                                    Sosivio | Predictive Troubleshooting for Kubernetes               stable
sosreport-operator                         sosreport-operator                                                alpha
spark-helm-operator                        Spark Helm Operator                                               alpha
special-resource-operator                  Special Resource Operator                                         alpha
stolostron                                 Stolostron                                                        community-0.2
stolostron-engine                          Stolostron Engine                                                 community-0.2
strimzi-kafka-operator                     Strimzi                                                           stable
syndesis                                   Syndesis Operator                                                 latest
t8c                                        Turbonomic Platform Operator                                      stable
tagger                                     Tagger                                                            alpha
tempo-operator                             Community Tempo Operator                                          alpha
tf-controller                              Weave GitOps Terraform Controller                                 stable
tidb-operator                              TiDB Operator                                                     stable
ucs-ci-solutions-operator                  UCS-CI-Solutions-Operator                                         alpha
universal-crossplane                       Upbound Universal Crossplane (UXP)                                stable
varnish-operator                           Varnish Operator                                                  alpha
vault-config-operator                      Vault Config Operator                                             alpha
verticadb-operator                         VerticaDB Operator                                                stable
victoriametrics-operator                   VictoriaMetrics Operator                                          beta
volume-expander-operator                   Volume Expander Operator                                          alpha
windup-operator                            Windup Operator                                                   alpha
yaks                                       YAKS Operator                                                     alpha
zookeeper-operator                         ZooKeeper Operator                                                alpha
