NAME                                          DISPLAY NAME                                             DEFAULT CHANNEL
machine-deletion-remediation                  Machine Deletion Remediation operator                    stable
marin3r-operator                              Red Hat - MARIN3R                                        stable
mcg-operator                                  NooBaa Operator                                          stable-4.12
metallb-operator                              MetalLB Operator                                         stable
mta-operator                                  Migration Toolkit for Applications Operator              stable-v6.2
mtc-operator                                  Migration Toolkit for Containers Operator                release-v1.8
mtr-operator                                  Migration Toolkit for Runtimes Operator                  alpha
mtv-operator                                  Migration Toolkit for Virtualization Operator            release-v2.5
multicluster-engine                           multicluster engine for Kubernetes                       stable-2.3
multicluster-global-hub-operator-product      Multicluster Global Hub Operator                         release-0.7
netobserv-operator                            Network Observability                                    stable
nfd                                           Node Feature Discovery Operator                          stable
node-healthcheck-operator                     Node Health Check Operator                               stable
node-maintenance-operator                     Node Maintenance Operator                                stable
node-observability-operator                   Node Observability Operator                              alpha
numaresources-operator                        numaresources-operator                                   4.12
ocs-client-operator                           OpenShift Data Foundation Client                         stable-4.12
ocs-operator                                  OpenShift Container Storage                              stable-4.12
odf-csi-addons-operator                       CSI Addons                                               stable-4.12
odf-multicluster-orchestrator                 ODF Multicluster Orchestrator                            stable-4.12
odf-operator                                  OpenShift Data Foundation                                stable-4.12
odr-cluster-operator                          Openshift DR Cluster Operator                            stable-4.12
odr-hub-operator                              Openshift DR Hub Operator                                stable-4.12
openshift-cert-manager-operator               cert-manager Operator for Red Hat OpenShift              stable-v1
openshift-custom-metrics-autoscaler-operator  Custom Metrics Autoscaler                                stable
openshift-gitops-operator                     Red Hat OpenShift GitOps                                 latest
openshift-pipelines-operator-rh               Red Hat OpenShift Pipelines                              latest
openshift-secondary-scheduler-operator        Secondary Scheduler Operator for Red Hat OpenShift       stable
opentelemetry-product                         Red Hat OpenShift distributed tracing data collection    stable
ptp-operator                                  PTP Operator                                             stable
quay-bridge-operator                          Red Hat Quay Bridge Operator                             stable-3.9
quay-operator                                 Red Hat Quay                                             stable-3.9
red-hat-camel-k                               Red Hat Integration - Camel K                            1.10.x
redhat-oadp-operator                          OADP Operator                                            stable-1.2
rh-service-binding-operator                   Service Binding Operator                                 stable
rhacs-operator                                Advanced Cluster Security for Kubernetes                 stable
rhods-codeflare-operator                      RHODS CodeFlare Operator                                 alpha
rhods-operator                                Red Hat OpenShift Data Science                           stable
rhods-prometheus-operator                     Prometheus Operator                                      beta
rhpam-kogito-operator                         RHPAM Kogito Operator                                    7.x
rhsso-operator                                Red Hat Single Sign-On Operator                          stable
sandboxed-containers-operator                 OpenShift sandboxed containers Operator                  stable
security-profiles-operator                    Security Profiles Operator                               release-alpha-rhel-8
self-node-remediation                         Self Node Remediation Operator                           stable
serverless-operator                           Red Hat OpenShift Serverless                             stable
service-registry-operator                     Red Hat Integration - Service Registry Operator          2.x
service-telemetry-operator                    Service Telemetry Operator                               stable-1.5
servicemeshoperator                           Red Hat OpenShift Service Mesh                           stable
skupper-operator                              Red Hat Service Interconnect                             alpha
smart-gateway-operator                        Smart Gateway Operator                                   stable-1.5
sriov-network-operator                        SR-IOV Network Operator                                  stable
submariner                                    Submariner                                               stable-0.15
tempo-product                                 Tempo Operator                                           stable
topology-aware-lifecycle-manager              Topology Aware Lifecycle Manager                         stable
vertical-pod-autoscaler                       VerticalPodAutoscaler                                    stable
volsync-product                               VolSync                                                  stable
web-terminal                                  Web Terminal                                             fast
windows-machine-config-operator               Windows Machine Config Operator                          stable
