NAME                                                 DISPLAY NAME                                                          DEFAULT CHANNEL
model-builder-for-vision-certified                   IBM Model Builder for Vision                                          stable
mongodb-atlas-kubernetes                             MongoDB Atlas Operator                                                stable
mongodb-enterprise                                   MongoDB Enterprise Operator                                           stable
netapp-spark-operator                                NetApp Supported Apache Spark on OpenShift                            alpha
netscaler-adm-agent-operator                         Netscaler ADM Agent Operator                                          stable
netscaler-operator                                   NetScaler Operator                                                    stable
neuvector-certified-operator                         NeuVector Operator                                                    beta
nexus-repository-ha-operator-certified               Nexus Repository HA Operator                                          stable
nginx-ingress-operator                               Nginx Ingress Operator                                                alpha
nspc-operator                                        NEC Storage Plug-in for Containers                                    stable
nutanixcsioperator                                   Nutanix CSI Operator                                                  stable
nvidia-network-operator                              NVIDIA Network Operator                                               v24.7.1
nxiq-operator-certified                              Nexus IQ Operator                                                     stable
nxrm-operator-certified                              Nexus Repository Operator                                             stable
oceanbase-operator                                   Ob Operator                                                           stable
open-liberty-certified                               Open Liberty                                                          v1.4
openshiftartifactoryha-operator                      JFrog Artifactory Enterprise Operator                                 alpha
openshiftxray-operator                               JFrog Xray Continuous Security Operator                               alpha
operator-certification-operator                      Operator Certification Operator                                       alpha
ovms-operator                                        OpenVINO Toolkit Operator                                             alpha
pachyderm-operator                                   Pachyderm                                                             stable
pcc-operator                                         Prisma Cloud Compute Operator                                         stable
percona-postgresql-operator-certified                Percona Operator for PostgreSQL                                       stable
percona-server-mongodb-operator-certified            Percona Distribution for MongoDB Operator                             stable
percona-xtradb-cluster-operator-certified            Percona Operator for MySQL based on Percona XtraDB Cluster            stable-cw
pg4k-pgd                                             EDB Postgres Distributed for Kubernetes                               stable
pmem-csi-operator-os                                 Operator for PMEM-CSI driver                                          stable
portworx-certified                                   Portworx Enterprise                                                   stable
prometurbo-certified                                 Prometurbo Operator                                                   stable
pubsubplus-eventbroker-operator                      Solace PubSub+ Event Broker Operator                                  stable
pulsar-operator                                      Pulsar Operator                                                       alpha
pulsar-resources-operator                            Pulsar Resources Operator                                             alpha
redis-enterprise-operator-cert                       Redis Enterprise Operator                                             production
runtime-component-operator-certified                 Runtime Component                                                     v1.4
runtime-fabric-operator                              Runtime Fabric Operator                                               stable
sanstoragecsi-operator-bundle                        NEC Storage M Series CSI Operator                                     stable
scaleops-operator                                    ScaleOps                                                              stable
silicom-sts-operator                                 Silicom STS Operator                                                  stable
smilecdr-operator                                    Smilecdr Operator                                                     alpha
sn-operator                                          StreamNative Operator                                                 alpha
splunk-operator                                      Splunk Operator                                                       stable
sriov-fec                                            SRIOV-FEC Operator for Intel vRAN Boost Accelerators                  stable
stackable-airflow-operator                           Stackable Operator for Apache Airflow                                 24.7
stackable-commons-operator                           Stackable Commons Operator                                            24.7
stackable-druid-operator                             Stackable Operator for Apache Druid                                   24.7
stackable-hbase-operator                             Stackable Operator for Apache Hbase                                   24.7
stackable-hdfs-operator                              Stackable Operator for Apache HDFS                                    24.7
stackable-hive-operator                              Stackable Operator for Apache Hive                                    24.7
stackable-kafka-operator                             Stackable Operator for Apache Kafka                                   24.7
stackable-listener-operator                          Stackable Listener Operator                                           24.7
stackable-nifi-operator                              Stackable Operator for Apache Nifi                                    24.7
stackable-opa-operator                               Stackable Operator for the Open Policy Agent                          24.7
stackable-secret-operator                            Stackable Secret Operator                                             24.7
stackable-spark-operator                             Stackable Operator for Apache Spark                                   24.7
stackable-superset-operator                          Stackable Operator for Apache Superset                                24.7
stackable-trino-operator                             Stackable Operator for Trino                                          24.7
stackable-zookeeper-operator                         Stackable Operator for Apache Zookeeper                               24.7
stackgres-certified                                  StackGres                                                             stable
sumologic-kubernetes-collection-helm-operator        Sumo Logic Kubernetes Collection Helm Operator                        alpha
t8c-certified                                        Turbonomic Platform Operator                                          stable
t8c-tsc-client-certified                             Turbonomic Secure Connect Client                                      stable
tawon-operator                                       Tawon                                                                 alpha
tenant-operator                                      Multi Tenant Operator                                                 release-0.12
test-obi-new-cnf-option                              test-obi-new-cnf-option                                               stable
tigera-operator                                      Tigera Operator                                                       release-v1.34
timemachine-operator                                 Time Machine Operator                                                 alpha
uma-admin-operator                                   DX APM Universal Monitoring Agent Admin For Multi-tenancy             stable
uma-operator                                         DX APM Universal Monitoring Agent                                     stable
uma-team-operator                                    DX APM Universal Monitoring Agent Team For Multi-tenancy              stable
vault-secrets-operator                               Vault Secrets Operator                                                stable
vcp-operator                                         Venafi Control Plane Operator                                         stable
vfunction-server-operator                            vFunction Operator                                                    stable
webotx-operator                                      WebOTX Operator for Kubernetes                                        stable
xcrypt-operator                                      Zettaset XCrypt Operator                                              alpha
xspc-operator                                        HPE XP Storage Plug-in for Containers                                 stable
zabbix-operator-certified                            Zabbix Operator                                                       lts
zookeeper-operator                                   ZooKeeper Operator                                                    alpha
